sentiment_label,stars,sentiment_confidence,text,text_length

Very Negative,3,0.915,"the only reason i'm rating 3 stars is solely because i love the wings here. everything else is bad! bad food, bad service unless you are in the bar area. our waitress was so awkward!! she would walk past our table, stare and not say a thing. i told her i didn't like my lettuce wraps and she took them away, then brought me my check with them on there, she wanted to charge me for them. what the hell? i made her take them off. my salad was literally hot because they put the hot chicken over it and it made it soggy. literally one of my worst experiences at a restaurant.",572

Very Negative,3,0.907,"i had a grubhub order from here. a large plate for 3 people. the chow mein was great as was the 2 orders of orange chicken. the 3rd was broccoli beef. it was so bad. the broccoli tasted rancid and there was only 1 piece of beef smaller than my pinky finger. i will never order that from here, ever again. nor do i recommend anyone else order the broccoli beef. worst. thing. ever!!!",382

Very Negative,5,0.906,"devastation! that's the only word that currently comes to mind when i think of el torero. every weekend i head to el torero with my family for our favorite mexican food fix. just the other day we excitedly walked up to the front door to stumble across a horrific sign.....closed/for sale.  what?!?!? this can't be happening. our favorite mexican food restaurant in all of tucson is closing and for sale!?!? this is a complete catastrophe. what are we going to do now? i am really going to miss you, el torero, and i'm especially going to miss my favorite waitress shorty and the best (i mean best) cheese enchiladas and ground beef tacos in the world.  this family run business has been serving authentic mexican food for years and was one of a kind! i've been going to el torero with my family since i was a little kid. it was our weekend tradition and one that will never be forgotten. thanks for all the great memories, food, and fun el torero.",949

Very Negative,5,0.905,"everything wonderful, except 1 pound costillas carnitas style, complete bad flavor, i put in the trash, i can't eating. $7.99 x pound. chicharrón botanero espectacular.",168

Very Negative,3,0.903,"absolutely the rudest person and worst service... my husband and i came here for a nice lunch and were treated horribly by evi ( had to get her name i was shaking so bad) .... will never step foot back here ....the owners need to do something, our first impression was awful.  as small business owners in town we understand that people like this can ruin your quality of care of service. follow up .... owner came out and apologized and took care of us from then on which is why i bumped my 1 star to 3 ... food very flavorful",527

Very Negative,3,0.899,"this place smells horrible!  i was forewarned but it's near work and omw home.  i was really craving bread and tuscana.  i also love the calamari here but i think it's losing it's zing for me.  i sat at the bar since i was alone.  the bar staff was friendly but i never got any names, my food came out expediently and i spent about an hour there today.  i don't think i'll return though because it really does smell bad in this joint... like a dumpster",452

Very Negative,3,0.899,i think this place has a lot of potential but the customer service was the worst i have ever seen. i have never left a bad review and i'm too kind to even put one star which is what i would truly rate this place. i had a few people ask me about this place and i simply told them your experience might be better but they don't want to go now. no so epic is how i would describe it. nevertheless i hope they work it out and i wish them all the best. my suggestion hire grant cardone.,481

Very Negative,3,0.895,"delicious wings. crispy and great sauce.  service is horrible. our waitress never came and ask how we doing, no refill. they also prepared my order wrong, gave me the wrong flavor of wings. (they are still delicious tho)  the restaurant is disgusting, flies flying around. tables are dirty.  i will only get to go from now on.",327

Very Negative,5,0.894,"this establishment is the absolute worst place i have ever been. a few friends and i went there on saturday nov. 29th to karaoke and have some dinner. the food was just nasty and not worth the money. as far as the karaoke went, we were enjoying ourselves when this drunk obnoxious idiot named derrick got up and very loudly screamed out a song and it was very offensive. it included the f--k word numerous times. he was about 21. not cool. then we found out thst this punk was the manager!!! he showed no respect for anyone else there. then he got more drunk. when we complained to the owner he said ""he's just having fun"". like he condones this kind of thing!! ridiculous!! then the owner accused us of not buying anything and told us to take our business elsewhere! we all bought dinner!!! this place is definately not worth your time and the food sucks! i would not recommend this place to anyone unless you like drunk punks who think they are all that. don't bother. they could care less!! when i tried to post this it wouldn't let me unless i chose a star rating. i tried to give one star so i could post this. it highlighted all the stars!!! i didn't want to give them any stars. they suck!!!!!",1200

Very Negative,3,0.894,"it's an overpriced denny's! big line, poor service, and bad management! staff is overwhelmed, anxious and with no apparent training! it's a shame.",146

Very Negative,3,0.891,i'm so disappointed  the food was awful .. probably what i ordered .. eggs benedict with cauliflower mush underneath & the service was the worst ever!!! i had to beg for coffee then was ignored ‍it was a birthdayparty & they never cleaned up the brunch dishes .. so we are sitting there trying to open gifts around dirty dishes.. for a sunday morning it wasn't busy .. now i know why! so sorry but i think for the $$ they could do a whole lot better!! i won't be going back for brunch .. i would have rather ordered off the regular menu but was never asked or i never thought of asking... save your $$ & go to 1st watch or baja cafe!! for sunday brunch!,653

Very Negative,3,0.89,"got a gift certificate for this ham place. the ham was actually extremely tasty, although very expensive, which didn't matter, since it was covered by the gift certificate. but since i had some left over balance on the gift card i purchased 6 side dishes, the potatoes au gratin, the broccholi casserole, the beans and the apple cinnamon desert. i must say that all the side dishes were absolutely horrible. i will go back to the store to get another ham, should i ever get another gift certificate, but i will never ever get these sides dishes again, not even if they were free of charge.",589

Very Negative,3,0.89,"my husband bought a prickly pear cupcake for me for $5.50. i was so excited to eat it since i love cupcakes and i have celiac's disease. the cake was exquisite but the frosting, my favorite part, was hands down the worst frosting that i've ever had. it tasted like sweet crisco. it was so bad and left a coating on the roof of my mouth. i couldn't even swallow it, i had to spit it out. i will make my own cupcakes from now on.",427

Very Negative,5,0.889,"worst place ever. my family had gone for a dinner party and the service was horrible, our food took hours to even get to us. they didn't know who's order went with who, management was no help either. we were still being brought our orders as we were getting up ready to leave. overpriced every single order in the dinner party. my waitress was miserable and letting it show. i will never again be returning here. first and last time.   h",437

Very Negative,3,0.889,"had my shabbat dinner with a friend a couple weeks ago. a piece of ny steak, broccoli and some bread. got the worst food poisoning ever.",136

Very Negative,3,0.887,"justin has to be the worst waiter ever! i was mis- treated by his rude comments before, not worth repeating his diminutive remarks. another star because he did not honor my request to be served by another waiter or talk to management. asking for the manager/cook/owner is like looking for gold, never available hiring a creep like this does nit say much for him either. the food is good but the lack of service is a repeated complaint in this establishment.",457

Very Negative,3,0.887,"updating my review... dropping a star because of numerous bad experiences during pandemic with take out.  skimpy servings and just poor preparation.   i have not had sit down service, but i'm hopeful that the in restaurant experience is like it was.  but i cannot recommend for any takeout.",291

Very Negative,3,0.883,"oh dear!  we've now got to la prices without the food, service or sophistication to warrant such prices.  what started out as a very good bistro type restaurant, with appropiate pricing, has suddenly taken on amusing airs and graces.  food now seems less important than patrons' posing; service seems less important than being cool; keeping reservations seems less important than overbooking. as an award, this restaurant has the worst service, bar none.  this writer's companion wrote to the owners just after opening pointing out the problems with the service.  she received no response.  i guess they don't care or understand because on each subsequent visit things only got worse.",685

Very Negative,3,0.882,amazing food. horrific service. idk if too many tables or someone called out sick.passive aggressive waitress. completely forgotten for dinner. would come back for takeout but service is so sad and takes away from the food.,223

Very Negative,3,0.881,"terrible coffee,  underwhelming food, adequate service.   appetizer plate was super greasy, and along the lines of low quality microwaveable foods.  coffee was stale, and luke warm.  its ihop... what on earth were you expecting?",232

Negative,5,0.954,food was delicious but a bit over priced in my opinion. i wouldnt go regularly but maybe every once in awhile.,110

Negative,4,0.952,"food and atmosphere are great but the food took a little while, you have to pay for parking around there and the waitress was a little slow. if you don't mind paying for parking and aren't in a hurry definitely recommend",220
Negative,4,0.952,"bing's is pretty good but a little bit inconsistent with the thai tea. sometimes, it'll be extra sweet and at times, they're a bit bland. i know that they can make it more sweet if need be, but i have no idea before i order it how they will make it, sweet or not so that's a bit hard for me.",291
Negative,4,0.95,"meatballs were a little over cooked and the bread could use just a little more attention, but the food was delicious.",117
Negative,4,0.95,"i've been here for happy hour and bar food a few times and though i like the atmosphere and the drinks, the food is just not that good. usually janos's restaurants are worth the splurge, but the times i've ordered food here i just haven't been impressed, so for a discount at happy hour it's a great option but otherwise i'm just not excited to spend a good dinner's night out here. the atmosphere is fun at the tables and for two or three at the bar, but it can be tricky and a little crowded at the bar if you're with a bigger group.",537
Negative,4,0.949,i love how they offer vegan pizza!  but their sauce can sometimes be too acidic for my taste.  i usually feel kind of sick after eating it (too salty?).,152
Negative,4,0.948,"i've eaten here many times, and i'm a big fan of the food. however, the service is not great and the atmosphere in the restaurant is not great either. la indita is housed in an old building on 4th ave that probably hasn't been renovated in decades, and it sometimes feels a little stuffy inside. so, if atmosphere is a big deal to you, i wouldn't recommend la indita. if food is all that matters to you, i would definitely recommend la indita. they have excellent chips and salsa, the chicken mole is very good, and the tarascan tacos are super-tasty. =)",555
Negative,4,0.948,"good personal pizza, but the crust is a little too burn in some spots. i like my crust extra crispy, but sometimes it's a little too charred at fired pie. the toppings and cheese taste awesome tho. this is like a lot of those build your own pizza places, but these pizzas have a little more uniqueness to them.",310
Negative,4,0.946,"our family loved mod but i wish they would cook the pizzas a little bit longer. anytime there is more then about 3 toppings on the pizza, they tend to be under cooked.  we have stuck to just ordering a few toppings and therefore our pizzas have been great but anytime we add more we are disappointed.",300
Negative,4,0.946,"i used to love this bar for all the reasons other people have written about, but in the last few months the staff has changed, and many (not all) of the bartenders are not quite as friendly, knowledgeable, and interactive as they used to be. i'm looking for another hangout just in case.",287
Negative,4,0.945,i love their food and bread the atmosphere is a little too hectic and disorganized though so i usually take it home,115
Negative,5,0.945,"the sandwich is awesome, but a little overpriced.  they do have a wide selection to choose off the menu, but my selection comes from all the hot students who comes here on the weekend, and that is why it get 5 stars!!!",218
Negative,5,0.945,staff is super friendly but seems to take a long time to get your food. definitely not a place to go in a hurry. but the excellent food and great staff make up for the wait.,173
Negative,4,0.944,"i came here for the first time with my roommates. some other friends of mine had me hyped up for this place since it reopened. unfortunately, i did not try the sushi or the korean barbecue so i will have to come back to review those. instead, i ordered tempura udon.  my experience with udon at most places isn't so great. i chatter a lot when i go out to eat with friends so i'm usually a slow eater. halfway through the meal, the udon noodles tend to break apart and slowly dissolve into the soup. this was definitely not the case at takamatsu. i got to socialize and catch up with friends while enjoying udon that remained soft without disintegrating into the broth.",670
Negative,4,0.944,"i recommend this business, but every time i go there's something slightly wrong with my order. nice family though!",114
Negative,4,0.944,"the food and the baked goods are quite tasty; however, today's register attendee lacked warmth and was not very helpful in assisting us with our order.  in fact, it could be said that she would be better off working at the dmv.",227
Negative,4,0.944,"the food is delicious but it can take a while to get service, especially if there are a lot of people coming in to place take-out orders.",137
Negative,4,0.944,"just moved back to tucson and i wanted a hot dog and i was a bit disappointed, i don't remember the hot dog being so small from when they first started out. the dog is only about half the size of the bun. it's still tasty but they seemed to have gotten cheap with the dog",271
Negative,4,0.944,"i've eaten here twice once dining in and once for takeout the food is always amazing,  i've had the lavish chicken wrap and the salmon plate 4 very good and i would order again. but it feels like there consistently short staffed the food takes a long time to come out and the server seem overworked. whoever is running this place might want to think about adding some more staff.(they may just be running less staff due to covid, but it seems there is enough business to have some one working to go orders, and someone to focus on tables)",538
Negative,4,0.943,the food was just okay. not that awesome in taste. the mist in the outdoor sitting gets in the food when windy and this worried me about getting legionella. i'm a clean freak however so i tend to be hyper-aware of potential germs. i would eat inside next time. cost is on par with most restaurants in the area.,310
Neutral,5,0.938,"background  north has a number of locations in arizona & texas. i just had lunch at the tucson location. skyline in tucson is a beautiful and north is very pretty. (see pics)  there is an impressive bar, a large dining room with edgy lighting and a cozy patio.  the menu  the menu includes appetizers/small plates, salads, pastas & mains. (see pics) appetizers:  zucca chips braised meatballs calamari bruschetta grilled cauliflower  black mediterranean muscles truffle garlic bread  grilled artichoke  chef's board (which i had - see pics) pastas:  spaghetti & meatballs chicken pesto cheese tortellini bolognese  strozzapreti squid ink malafoine  ricotta gnocchi (which i had) mains:  grilled brazino short ribs diver scallops chicken parmesan roasted chicken ny strip atlantic salamon desserts:  bombolini olive oil cake dark chocolate tart tiramisu affogati gelato salted caramel budino conclusion  5/5 recommend  of note *hours: lunch: 11am - 4pm dinner: 4pm - 9:30pm/10:30pm fri & sat/9 sun happy hour: 3pm - 6pm *for more information: northitaliarestaurant.com",1081
Neutral,1,0.937,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. mi tierra: eggy and bland. green see photos.,166
Neutral,1,0.937,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. viva burrito: frozen cheese inside. green see photos.,175
Neutral,1,0.937,"the company boasts a brewery and a separate bistro location within the city limits.   we drove the ten minutes to the bistro and found ourselves in the middle of a monkey-muraled mishap. not the logo, just the impression it made.  it was everywhere; painted on the building's side in the style of an antiquated graphic stamp, on the floor, on the ceiling and the walls, on our table, in the decor, on the bar, the beers, the bathrooms...cute.  the iconic monkey's impressive coup de main may be the only reason for the continued survival of the business.  the beer isn't bad either, especially the...monkey shine?  monkey--anyone need further elaboration..? we ordered two appetizers to begin:  ""nachos nimbus"" and ""monkey burn.""  (menu: http://www.nimbusbeer.com/bistro/bistro%20menu.pdf) the menu brags a delicious description of the ""house-made cheese blend"" that sits atop the ""house-made tortilla chips"" of the nimbus nachos.  my question, should a member of the nimbus staff wander across this critique, is: at who's frigg'n house was this food made? i found a comparable ""cheese blend"" in that handy machine at the corner store.  you know the one; you pulled the lever a couple dozen times at 3am--underage but smashed out of your mind and sick with the munchies.  it is a sauce, a cheese sauce, and whether you open the large bags that hold it all together in the back of a restaurant or the back of a volkswagen, it doesn't belong in a bistro. can i get a ""circle k,"" anybody..?  also, there is avocado, there is salsa, but there was not a drop of the ""avocado salsa"" mentioned on the menu anywhere on the dish.  there was corn in my salsa, no avocado, and while there may have been chicken on the nachos as ordered--gustavo and i  debated whether the thin slivers of white spread with thrifty sense throughout were meat or, as i posited, ""just our imaginations""-- it certainly wasn't enough chicken to merit it as a choice we needed to make while ordering. now, both my man and i have an appreciation for spicy foods.  the eating of them is traditional in his culture and has always been a favorite indulgence of mine.  but ""monkey burn""... have you ever had the capsicum annum variety black pearl straight from a botanist's garden?  i have, a good friend of mine grows a few of the hearty plants.  the small pepper, which does indeed resemble a tiny black pearl at its start, packs a wallop that will leave your eyes watering and your mouth begging for a piece of bread. it rates much higher in scoville heat units (shu), coming in at 30,000, than the jalapeño at 2,000-5,000 (google a diagram.) after eating ""monkey burn"" i'm convinced the chefs at nimbus have learned how to use a chili shaped cake pan to mold, bread and fry police-grade pepper spray. suffice it to say, we took those to go.  after i d'breaded them at home, they were so raw that i stored and used them sparingly in some homemade salsa. the coup de grâce:  it could have been a saving grace, but the bacon mac & cheese ",4053
Neutral,5,0.937,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. las cazuelitas: no yellow cheese. red   see photos.,172
Neutral,5,0.936,"georgia chopped pork better than anything i've eaten in georgia.  mmmm.   under $7 for lunch, $9 for a sandwich, and $11 for a dinner platter.",143
Neutral,1,0.935,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. el torero: unstuffed canned chiles. green see photos.,175
Neutral,5,0.935,"pick 2, fuji apple chicken salad, broccoli and cheese soup with side of potato chips and regular drink. pro tip: dip chips in soup before consuming",148
Neutral,1,0.935,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. guillermo's double l: open since 1948? green see photos.,178
Neutral,1,0.935,chile rellenos in the tucson area rated according to the homeland security advisory system with three word descriptors. filiberto's: free meat chunk. green see photos.,169
Neutral,5,0.935,"a mom and pop mexican dive with a uniquely broad offering of higher end ""street food.""  mom typically mans the counter and pop mans the stove. we had three different types of tacos:  carnitas; birria, and carne asada.  the carnitas comes like a ""smashed"" and seared wad of shredded pork; the birria is a juicy fistful of simmered beef; and the carnitas consists chopped steak.  all come heaping with their own garnishments, ranging from corn salsa to tomato/guacamole.  by far, the first two meats were the tastiest (the tiny, cubed carne asada tends to be dry/overdone)  but in all cases you get a hefty portion of protein on the standard-sized (5? inch round) street-style, corn tortillas.  they also came with red and green salsas on the side, which tasted fresh, tangy. pointers:  taco tuesday is a deal at 3/$5.99 for most proteins, including all three above.  all of the above also came with a chipotle-like mayo/sauce already spread onto the taco.  we decided that next time we'd skip the sauce and let the rest of the taco's flavors sing, au natural (less fatty too).  note: to get the taco tuesday special all three tacos must be of the same type. otherwise you'll get charged full price for each individual taco ($3 each +/-)! during covid the dining room is closed.  they are also closed every wednesday but are otherwise  open until 1pm with additional dinner time hours on tu/fr/sa... yes, confusing, so double check :)  ample parking in back (which is also where you circle around to wait after you order at the side drive-through window).",1555
Neutral,5,0.935,"fresh eggs, home-grown greens and grass-fed meats. homemade soaps and  fresh-baked breads.  aroma of coffee roasting on-site fills the air--and if you buy a pound, you get a free cup from scott and denise (www.adventurecoffeeroasting.com) every sunday, 8 a.m. to 12 p.m.",271
Neutral,5,0.934,lunch special 11am to 2pm monday- friday $6.99 breakfast special 7am to 11am monday- friday $ 5.98 includes coffee. friday night fish fry (all you can eat) 4pm to 8pm $12.99.,174
Neutral,5,0.934,"che's lounge may feature offensive odors, patrons of ill-repute, crowds on the weekends, townies, college students, hipsters, construction workers, gringos and mexicanos. detractors will call it a dive bar and fans will call it a 4th ave institution onto itself. if you enjoy bars like this you will probably love che's, if you prefer not to be within arms-reach of people sporting a full set of tattoos you should find another establishment. they also happen to have the cheapest draft on 4th ave - $1.50 miller pints, any time.",529
Neutral,5,0.934,"happy hour = 1/2 price wine bottles and glasses, 1/2 price draft beers, 1/2 price sides & fries. plain and simple burger is $7.00",129
