postal_code,topic,sentiment_label,combined_top_keywords
85701,4,Positive,"{'brewery': 208, 'whiskey': 126, 'vodka': 121, 'scott': 86, 'congress': 89, 'downtown tucson': 87, 'stout': 67, 'ale': 72, 'rum': 53, 'craft cocktail': 44, 'independent': 23, 'knowledgable': 24, 'german': 19, 'historic': 19, 'pale': 15, 'industrial': 19, 'belgian': 10, 'old fashioned': 14, 'small cozy': 12, 'drunk': 12}"
85701,2,Positive,"{'charro': 14, 'el charro': 244, 'seca': 216, 'carne seca': 207, 'mole': 139, 'salsa bar': 128, 'pastor': 92, 'al pastor': 77, 'chip salsa bar': 57, 'el charro cafe': 37, 'refried': 29, 'historic': 22, 'old mexican': 21, 'tropical': 13, 'delicious mexican': 13, 'mexican fresh': 12, 'real mexican': 12, 'traditional mexican': 11, 'nice mexican': 10}"
85704,3,Positive,"{'pho': 177, 'ikkyu': 123, 'lee': 130, 'spicy tuna': 125, 'banh': 79, 'miso soup': 109, 'sashimi': 111, 'banh mi': 75, 'vietnamese': 103, 'volcano': 83, 'nigiri': 23, 'mongolian': 21, 'broken': 15, 'japanese great': 11, 'edamame': 10, 'vietnamese vietnamese': 9, 'authentic vietnamese': 8, 'authentic japanese': 9, 'mein': 11}"
85704,7,Positive,"{'pepperoni': 60, 'italian food': 45, 'mozzarella': 51, 'pesto': 48, 'caesar': 48, 'great pizza': 29, 'bruschetta': 31, 'caesar salad': 39, 'pizza salad': 28, 'pizzeria': 26, 'great italian': 11, 'italian great': 9, 'olive': 10, 'rosemary': 9, 'gluten free': 9, 'reverse happy': 5, 'reverse': 5, 'italian delicious': 5, 'favorite italian': 4, 'quickly quickly': 5}"
85705,4,Positive,"{'4th ave': 125, 'brewery': 100, 'tap bottle': 66, 'plush': 60, 'cider': 75, 'dive bar': 72, 'che': 65, 'pool table': 50, 'sky': 57, 'karaoke': 54, 'drunk': 30, '4th great': 23, 'great 4th': 19, 'great live': 16, 'live great': 13, 'pale': 11, 'pretentious': 14, 'great knowledgeable': 11, 'industrial': 13, 'mezcal': 9}"
85705,2,Positive,"{'mole': 88, 'pastor': 84, 'maria': 60, 'al pastor': 68, 'salsa bar': 59, 'asada tacos': 54, 'macho': 20, 'taqueria': 46, 'authentic mexican': 52, 'cabeza': 43, 'poached': 10, 'mexican fresh': 13, 'salsas': 12, 'refried': 13, 'real mexican': 12, 'purple': 12, 'legit great': 8, 'mexican amazing': 11, 'super hard': 8}"
85706,2,Positive,"{'salsa bar': 64, 'pastor': 38, 'asada tacos': 30, 'caramelo': 26, 'carne asada tacos': 27, 'authentic mexican': 26, 'asada burrito': 25, 'cabeza': 22, 'carne asada burrito': 24, 'al pastor': 23, 'delicious mexican': 7, 'mexican pretty': 6, 'real mexican': 6, 'mexican reasonable': 5, 'authentic mexican reasonable': 4, 'great authentic mexican': 5, 'mexican fresh': 5, 'mexican authentic': 5, 'mexican large': 4, 'great mexican great': 4}"
85706,3,Positive,"{'hibachi': 34, 'pho': 30, 'teriyaki': 31, 'bento': 24, 'sashimi': 23, 'sachiko': 17, 'takoyaki': 15, 'tokyo': 16, 'california roll': 18, 'crab puff': 18, 'japanese japanese': 9, 'mongolian': 11, 'angry': 5, 'chinese great': 6, 'mein': 6, 'little generous': 3, 'friendly real': 3, 'extremely highly': 3, 'sweet amazing': 3, 'sizzling': 3}"
85707,2,Positive,"{'martin': 60, 'mole': 46, 'chicken mole': 22, 'comida': 12, '4th ave': 10, 'bean cheese': 8, 'byob': 7, 'asada tacos': 8, 'carne asada tacos': 8, 'chip bean': 6, 'mexican fresh': 3, 'great 4th': 2, 'mexican fresh delicious': 2, 'amazing extra': 2, 'delicious fabulous': 2, 'mexican impressed': 2, 'artsy': 2, 'flavorful light': 2, 'cheap fresh': 2, 'excellent fantastic': 2}"
85707,5,Positive,"{'barista': 26, 'caffe': 17, 'latte': 21, 'coffee shop': 19, 'chai': 13, 'campus': 12, 'espresso': 10, 'mocha': 8, 'caffeine': 8, 'starbuck': 9, 'grad': 2, 'iced great': 2, 'friendly perfect': 2, 'great iced': 2, 'fresh roasted': 2, 'ugly': 2, 'certainly great': 2, 'friendly decent': 2, 'nice loud': 2, 'friendly free': 2}"
85710,2,Positive,"{'salsa bar': 109, 'salsa verde': 68, 'poco': 56, 'street corn': 53, 'new mexican': 48, 'table salsa': 42, 'loco': 43, 'new mexico': 45, 'hatch': 41, 'guadalajara': 32, 'refried': 32, 'serial': 10, 'mexican fresh': 11, 'mexican red': 10, 'delicious mexican': 10, 'fast mexican': 9, 'mexican green': 8, 'mexican happy': 7, 'silver': 6}"
85710,6,Positive,"{'benedict': 182, 'french toast': 108, 'hash': 115, 'biscuit': 113, 'hash brown': 87, 'omelette': 68, 'great breakfast': 51, 'breakfast spot': 32, 'favorite breakfast': 32, 'maple': 28, 'poached': 13, 'great bloody': 11, 'bloody great': 9, 'french great': 8, 'french amazing': 7, 'swiss': 7, 'pecan': 5, 'english': 6, 'belgian': 4, 'french french': 4}"
85711,2,Positive,"{'salsa bar': 236, 'table salsa': 50, 'guadalajara': 44, 'authentic mexican': 45, 'barbacoa': 40, 'enchiladas': 39, 'mole': 33, 'refried': 30, 'chicken fajita': 28, 'manchego': 21, 'rican': 10, 'mild hot': 12, 'delicious mexican': 12, 'fast mexican': 11, 'fresh mexican': 11, 'definitely mexican': 10, 'hot mild': 10, 'mexican fresh': 10, 'traditional mexican': 10}"
85711,3,Positive,"{'pho': 289, 'vietnamese': 84, 'pad thai': 105, 'korean bbq': 68, 'boba': 70, 'korean food': 50, 'saigon': 47, 'miss saigon': 44, 'teriyaki': 53, 'kimchi': 46, 'mongolian': 50, 'korean korean': 23, 'korean great': 13, 'mein': 14, 'korean nice': 10, 'miss': 10, 'great korean': 10, 'thai great': 9, 'chinese great': 10}"
85712,3,Positive,"{'dim sum': 181, 'miso soup': 215, 'bulgogi': 147, 'edamame': 19, 'korean bbq': 126, 'korean food': 100, 'sashimi': 131, 'kimchi': 111, 'nigiri': 34, 'kazoku': 69, 'korean korean': 46, 'japanese korean': 24, 'great korean': 23, 'korean great': 18, 'vietnamese': 26, 'mongolian': 26, 'favorite korean': 16, 'authentic chinese': 20}"
85712,2,Positive,"{'salsa bar': 194, 'molina': 49, 'pastor': 61, 'asada quesadilla': 43, 'carne asada quesadilla': 40, 'barbacoa': 47, 'tote': 35, 'taco quesadilla': 38, 'casa molina': 28, 'al pastor': 39, 'refried': 24, 'fast mexican': 18, 'charro': 12, 'mexican fast': 13, 'delicious mexican': 11, 'mexican authentic': 10, 'great carne': 8, 'real mexican': 8, 'mexican nice': 8, 'mexican different': 6}"
85713,2,Positive,"{'nidito': 106, 'mi nidito': 106, 'lengua': 66, 'cabeza': 62, 'authentic mexican': 67, 'barbacoa': 54, 'menudo': 52, 'authentic mexican food': 49, 'taqueria': 42, 'seca': 44, 'refried': 29, 'excellent mexican': 14, 'real mexican': 13, 'definitely mexican': 11, 'delicious mexican': 11, 'native': 11, 'mexican authentic': 10, 'mexican little': 9, 'mexican sure': 9, 'traditional mexican': 9}"
85713,5,Positive,"{'bon': 54, 'monsoon': 34, 'hot chocolate': 27, 'coffee shop': 28, 'latte': 24, 'starbuck': 25, 'truffle': 21, 'isabella': 18, 'cold brew': 19, 'great coffee': 17, 'industrial': 14, 'mexican hot': 6, 'mesquite': 4, 'delicious cold': 5, 'beautiful delicious': 4, 'sustainable': 3, 'delicious beautiful': 3, 'different worth': 3, 'edible': 3, 'local unique': 2}"
85714,2,Positive,"{'roll taco': 86, 'taco fish': 50, 'menudo': 31, 'flat enchilada': 27, 'gordo': 19, '12th': 18, 'marlin': 23, 'cauliflower': 24, 'shrimp taco': 24, 'percheron': 16, 'crema': 8, 'rojo': 6, 'delicious mexican': 8, 'refried': 8, 'traditional mexican': 8, 'carb': 7, 'mexican little': 7, 'red sour': 4, 'real mexican': 5, 'fresh mexican': 5}"
85714,3,Positive,"{'dim sum': 139, 'soup dumpling': 15, 'nigiri': 7, 'mein': 4, 'pork bun': 11, 'lo mein': 15, 'shumai': 10, 'panda': 13, 'sushi restaurant': 12, 'sushi roll': 12, 'chinese dim': 7, 'mongolian': 10, 'unagi': 4, 'general spicy': 3, 'mexican mexican mexican': 3, 'subpar': 3, 'favorite asian': 3, 'fresh chinese': 3}"
85715,7,Positive,"{'renee': 55, 'lasagna': 33, 'pepperoni': 33, '78': 25, 'bruschetta': 28, 'pesto': 35, 'great pizza': 23, 'knot': 23, 'mozzarella': 30, 'garlic knot': 19, 'olive': 12, 'gluten free': 13, 'rosemary': 8, 'tanque': 7, 'umami': 7, 'artichoke': 6, 'great organic': 5, 'great italian': 5, 'dietary': 5, 'undercooked': 5}"
85715,3,Positive,"{'pho': 118, 'vietnamese': 37, 'sakura': 22, 'teppan': 17, 'china': 20, 'vietnamese food': 16, 'poke bowl': 13, 'bamboo': 15, 'peanut sauce': 14, 'teriyaki': 16, 'poke': 7, 'new chinese': 6, 'decent chinese': 5, 'vietnamese delicious': 3, 'broth': 3, 'chinese fresh': 4, 'fresh generous': 4, 'great vietnamese': 3, 'mongolian': 4}"
85716,3,Positive,"{'kimchi': 167, 'tonkotsu': 121, 'raijin': 89, 'korean food': 89, 'jun': 83, 'hot pot': 89, 'sushi garden': 91, 'bulgogi': 76, 'szechuan': 40, 'dan': 54, 'mongolian': 45, 'authentic chinese': 40, 'sizzling': 30, 'chinese chinese': 30, 'korean korean': 22, 'great chinese': 20, 'favorite korean': 13, 'favorite chinese': 18, 'umami': 15}"
85716,4,Positive,"{'pong': 43, 'pool table': 46, 'dive bar': 43, 'karaoke': 37, 'corn hole': 28, 'pretzel': 9, 'neighborhood bar': 23, 'film': 22, 'dart': 20, 'jukebox': 20, 'bud': 7, 'local local': 8, 'german': 6, 'great live': 7, 'great knowledgeable': 6, 'knowledgeable friendly': 6, 'cool big': 5, 'pretentious': 6, 'stuffy': 5}"
85718,2,Positive,"{'blanco': 133, 'encantada': 42, 'la encantada': 42, 'mole': 37, 'pork taco': 25, 'pastor': 26, 'authentic mexican': 26, 'street corn': 21, 'carne asada tacos': 25, 'asada tacos': 25, 'traditional mexican': 11, 'modern mexican': 8, 'braised': 9, 'peruvian': 6, 'latin': 8, 'skinny': 8, 'delicious mexican': 7, 'mexican nice': 7, 'refried': 7, 'mezcal': 5}"
85718,4,Positive,"{'union': 128, 'whiskey': 80, 'public house': 33, 'mule': 45, 'moscow mule': 32, 'moscow': 32, 'pub': 31, 'public': 19, 'bottle wine': 22, 'wine tasting': 19, 'happy wonderful': 9, 'great happy nice': 7, 'happy happy happy': 8, 'social great': 6, 'happy favorite': 8, 'little happy': 8, 'happy great happy': 7, 'late great': 7, 'perfect happy': 7}"
85719,3,Positive,"{'pho': 809, 'vietnamese': 224, 'saigon': 201, 'miss saigon': 177, 'boba': 140, 'poke bowl': 107, 'szechwan': 97, 'pad thai': 121, 'china': 114, 'miso soup': 105, 'authentic chinese': 65, 'chinese chinese': 41, 'mongolian': 42, 'mein': 33, 'szechuan': 26, 'chinese great': 29, 'authentic japanese': 23, 'miss': 21, 'favorite chinese': 25}"
85719,2,Positive,"{'guadalajara': 112, 'salsa bar': 129, 'table salsa': 101, 'salsa table': 97, 'rosa': 78, 'mariachi': 81, 'pupusa': 61, 'guadalajara grill': 48, 'pastor': 66, 'mariachi band': 55, 'refried': 36, 'mexican fresh': 22, 'festive': 20, 'drunk': 17, 'latin': 17, 'molcajete': 12, 'mild medium': 13, 'delicious mexican': 15, 'mexican fast': 14, 'mild medium hot': 11}"
85730,3,Positive,"{'pho': 28, 'mein': 8, 'boba': 18, 'bamboo': 18, 'lo mein': 19, 'wok': 18, 'mongolian': 17, 'pad thai': 16, 'wei': 12, 'vietnamese': 9, 'great chinese': 7, 'nigiri': 5, 'hot sour great': 3, 'nice chinese': 3, 'east great': 3, 'hot sweet': 3, 'chinese chinese': 3}"
85730,4,Positive,"{'pool table': 5, 'patio bar': 5, 'sam': 6, 'beer selection great': 5, 'saguaro': 2, 'beer menu': 4, 'food beer': 4, 'beer great': 4, 'crack': 4, 'eastside': 4, 'great east': 3, 'partly': 2, 'live amazing': 2, 'live nice': 2, 'great french': 2, 'southeast': 2, 'live great': 2, 'east great': 2, 'happy right': 2}"
85735,6,Positive,"{'benedict': 10, 'ryan': 7, 'hash': 5, 'biscuit': 5, 'field': 4, 'scramble': 4, 'order breakfast': 3, 'scramble egg': 3, 'serve breakfast': 3, 'delicious breakfast': 2, 'western': 3, 'little cute': 2, 'sweet friendly': 2, 'nice open': 2, 'right cool': 1, 'unique interesting': 1, 'fun cool': 1, 'locally definitely': 1, 'traditional nice': 1, 'delicious prickly': 1}"
85735,4,Positive,"{'halloween': 6, 'film': 1, 'creepy': 1, 'fun experience': 1, 'hang friend': 1, 'map': 1, 'time thing': 1, 'silly': 1, 'yard': 1, 'pant': 1, 'live fun': 1, 'infamous': 1, 'extra amazing': 1, 'overall fun': 1, 'biased': 1, 'little cool': 1, 'negative little': 1, 'awesome bad': 1, 'probably away': 1}"
85737,6,Positive,"{'benedict': 7, 'omelette': 7, 'great breakfast': 5, 'poached egg': 3, 'poached': 3, 'breakfast brunch': 2, 'french toast': 2, 'great coffee': 2, 'yogurt': 2, 'come breakfast': 2, 'friendly old': 2, 'friendly local': 2, 'macho': 1, 'rosemary': 1, 'unpleasant': 1, 'great normal': 1, 'attentive new': 1, 'nice fair': 1, 'little especially': 1}"
85737,7,Positive,"{'caffe': 4, 'great wine': 3, 'risotto': 2, 'italian food': 2, 'love pizza': 2, 'lasagna': 2, 'parm': 2, 'gelato': 2, 'spaghetti': 2, 'wonderful meal': 2, 'favorite italian': 2, 'italian great': 2, 'great italian': 2, 'second happy': 2, 'unforgettable': 2, 'noble': 1, 'passable': 1, 'nice upscale': 1, 'italian delicious': 1, 'perfect tender': 1}"
85739,2,Positive,"{'tierra': 15, 'catalina': 11, 'chuy': 8, 'mariachi': 7, 'authentic mexican': 6, 'salsa great': 5, 'cheese enchilada': 5, 'taco tuesday': 5, 'mariachi band': 4, 'gary': 4, 'festive': 4, 'refried': 3, 'pricey mexican': 2, 'especially mexican': 2, 'amazing close': 2, 'mexican clean': 2, 'decent mexican': 2, 'talented': 2, 'delicious dry': 2, 'late great': 2}"
85739,3,Positive,"{'grain': 19, 'pad thai': 11, 'bento': 10, 'bento box': 10, 'mongolian': 9, 'asian fusion': 6, 'miso soup': 6, 'red curry': 5, 'bistro': 5, 'mongolian beef': 5, 'asian chinese': 3, 'oriental': 3, 'great asian': 3, 'asian great': 3, 'chinese chinese': 3, 'mongolian hot': 2, 'asian excellent': 2, 'asian nice': 2, 'delicious asian': 2}"
85741,3,Positive,"{'poke bowl': 53, 'pho': 69, 'saigon': 49, 'miss saigon': 46, 'chinese buffet': 29, 'wok': 33, 'vietnamese': 29, 'mein': 11, 'sushi garden': 27, 'crab leg': 23, 'poke': 16, 'miss': 9, 'mongolian': 9, 'favorite chinese': 6, 'delicious healthy': 6, 'vietnamese great': 4, 'typical asian': 4, 'great chinese': 5}"
85741,2,Positive,"{'salsa bar': 31, 'refried': 26, 'refried bean': 23, 'favorite mexican': 22, 'cheese enchilada': 22, 'parrilla': 15, 'villa': 14, 'la parrilla': 13, 'suiza': 14, 'great mexican': 16, 'mexican fast': 6, 'hot mild': 5, 'fast mexican': 5, 'traditional mexican': 5, 'mexican authentic': 5, 'mexican favorite': 5, 'charro': 4, 'mexican reasonable': 4, 'reasonable mexican': 3}"
85742,5,Positive,"{'roadrunner': 22, 'bros': 15, 'coffee shop': 20, 'latte': 18, 'starbuck': 14, 'great coffee': 7, 'espresso': 8, 'coffee great': 7, 'mocha': 6, 'cold brew': 5, 'long quickly': 2, 'iced nice': 2, 'friendly young': 2, 'favorite big': 2, 'tricky': 2, 'favorite italian': 1, 'local great great': 1, 'windy': 1, 'smooth great': 1, 'italian delicious': 1}"
85742,10,Positive,"{'outlet': 31, 'food court': 9, 'michael': 4, 'marana': 4, 'shoe': 3, 'donut': 3, 'foothills mall': 2, 'jean': 2, 'gas station': 2, 'foothills': 2, 'floral': 3, 'nice beautiful': 2, 'beautiful nice': 2, 'fun awesome': 1, 'nice upscale': 1, 'great online': 1, 'different cold': 1, 'unique wonderful': 1, 'unpleasant': 1, 'reasonably super': 1}"
85743,3,Positive,"{'crab puff': 32, 'sashimi': 28, 'mongolian': 22, 'nigiri': 8, 'marana': 19, 'hot sour soup': 19, 'hot sour': 19, 'sour soup': 19, 'ayce': 13, 'mein': 7, 'favorite chinese': 10, 'chinese great': 8, 'great asian': 7, 'great chinese': 7, 'chinese fresh': 6, 'excellent asian': 5, 'asian great': 6}"
85743,4,Positive,"{'cage': 24, 'pub': 19, 'growler': 14, 'marana': 9, 'boston': 7, 'stool': 7, 'pretzel': 3, 'slider': 7, 'favorite beer': 5, 'neighborhood bar': 5, 'live great': 4, 'high high': 4, 'local friendly great': 3, 'domestic': 3, 'great definitely great': 3, 'great bloody': 2, 'sure yummy': 2, 'long glad': 2, 'happy daily': 2}"
85745,2,Positive,"{'mercado': 75, 'pastor': 56, 'courtyard': 53, 'al pastor': 49, 'mosaic': 18, 'culichi': 34, 'menudo': 36, 'huarache': 22, 'st mary': 22, 'mariscos': 27, 'refried': 21, 'indian': 14, 'mexican little': 10, 'typical mexican': 9, 'huevos': 9, 'delicious mexican': 8, 'battered': 7, 'mexican fast': 7, 'mexican fresh': 7}"
85745,3,Positive,"{'annex': 39, 'takoyaki': 28, 'udon': 30, 'mein': 13, 'lo mein': 27, 'seaweed': 25, 'hand roll': 20, 'japanese food': 16, 'miso raman': 13, 'authentic chinese': 15, 'mongolian': 15, 'chinese chinese': 9, 'cantonese': 7, 'definitely japanese': 4, 'pumpkin': 5, 'favorite chinese': 5, 'friendly quite': 4, 'chinese american': 4}"
85746,2,Positive,"{'bean dip': 11, 'chili relleno': 9, 'pupusa': 6, 'favorite mexican': 8, 'menudo': 8, 'favorite mexican restaurant': 7, 'cheese crisp': 7, 'marisco': 5, 'refried': 6, 'valencia': 5, 'favorite mexican great': 4, 'real mexican': 4, 'mexican clean': 3, 'polite friendly': 3, 'mexican great great': 3, 'mexican amazing': 3, 'rojo': 2, 'mexican mexican mexican': 2, 'hot fresh great': 2}"
85746,10,Positive,"{'walmart': 15, 'aisle': 4, 'salad bar': 4, 'gas station': 2, 'computer': 2, 'deli': 2, 'clothe': 2, 'cracker': 2, 'food selection': 2, 'starbuck': 2, 'electric': 2, 'clean organized': 2, 'decent small': 2, 'great online': 1, 'right probably': 1, 'wonderful clean': 1, 'lit': 1, 'bulk': 1, 'shiny': 1, 'open great great': 1}"
85747,3,Positive,"{'thai food': 98, 'pad thai': 93, 'rita ranch': 36, 'green curry': 35, 'rita': 40, 'red curry': 28, 'thai restaurant': 23, 'drunken': 22, 'crab puff': 28, 'tom': 24, 'great thai': 11, 'favorite thai': 8, 'thai great': 8, 'thai iced': 8, 'mongolian': 10, 'thai thai': 8, 'vietnamese': 9, 'thai friendly': 6, 'southeast': 6}"
85747,2,Positive,"{'gas station': 60, 'rita ranch': 32, 'papa': 44, 'loco': 38, 'salsa bar': 41, 'rancho': 31, 'rita': 34, 'vail': 18, 'chuy': 16, 'enchiladas': 15, 'refried': 11, 'little mexican': 8, 'pollo': 5, 'crema': 5, 'picky mexican': 4, 'mexican bad': 4, 'mexican reasonable': 4, 'tri': 4, 'mexican extensive': 3, 'nice little mexican': 3}"
85748,3,Positive,"{'miso soup': 33, 'edamame': 4, 'teriyaki': 23, 'mongolian': 21, 'mein': 20, 'yogurt': 15, 'lo mein': 17, 'mongolian beef': 16, 'soup edamame': 12, 'miso soup edamame': 10, 'great chinese': 9, 'chinese chinese': 6, 'chinese great': 6, 'mongolian hot': 4, 'authentic japanese': 4, 'local chinese': 4, 'little reasonable': 4, 'definitely chinese': 4}"
85748,5,Positive,"{'starbuck': 57, 'toffee': 15, 'bourbon': 15, 'cone': 17, 'cookie cream': 12, 'barista': 12, 'munchie': 6, 'new flavor': 6, 'bee': 5, 'pecan': 5, 'rocky': 3, 'great organic': 2, 'wonderful unique': 2, 'saguaro': 2, 'sincerely': 2, 'creamy rich': 2, 'mobile': 2, 'smoothly': 2, 'definitely yummy': 2, 'sure free': 2}"
85749,5,Positive,"{'scone': 31, 'yogurt': 24, 'latte': 26, 'coffee shop': 25, 'cupcake': 12, 'crossroad': 11, 'great coffee': 13, 'mocha': 10, 'mt': 11, 'croissant': 8, 'shaded': 4, 'buzz': 3, 'comfortable clean': 3, 'pecan': 2, 'interesting friendly': 2, 'relaxing great': 2, 'alternative': 2, 'brisk': 2, 'friendly available': 2, 'nice delicious great': 2}"
85749,7,Positive,"{'knot': 16, 'canyon': 13, 'garlic knot': 9, 'cauliflower': 9, 'pizza great': 7, 'pepperoni': 7, 'great pizza': 6, 'slice pizza': 6, 'deep dish': 6, 'alfredo': 6, 'italian delicious': 3, 'half nice': 2, 'deep great': 2, 'crunchy delicious': 2, 'fast busy': 2, 'busy amazing': 2, 'large spicy': 2, 'large perfect': 2, 'extra extra': 2, 'doughy': 2}"
85750,3,Positive,"{'sashimi': 66, 'nigiri': 15, 'toro': 35, 'yukari': 22, 'sushi bar': 28, 'udon': 24, 'japanese restaurant': 22, 'sushi tucson': 21, 'miso soup': 21, 'sushi restaurant': 19, 'japanese japanese': 8, 'authentic japanese': 8, 'japanese fresh': 5, 'japanese great': 5, 'delicious japanese': 4, 'favorite japanese': 4, 'mongolian': 5, 'caterpillar': 4, 'definitely japanese': 3}"
85750,4,Positive,"{'canyon': 11, 'sabino': 8, 'great selection beer': 6, 'glass wine': 6, 'foothill': 6, 'great view': 6, 'wine great': 4, 'wine list': 4, 'selection beer wine': 4, 'karaoke': 4, 'risky': 11, 'detailed': 4, 'lit': 4, 'able different': 3, 'great live': 3, 'great social': 2, 'charcuterie': 2, 'great happy friendly': 2, 'great happy nice': 2, 'hush': 2}"
85755,2,Positive,"{'ho': 1, 'pork taco': 1, 'stop night': 1, 'glad amazing': 1}"
85756,2,Positive,"{'charro': 1, 'el charro': 4, 'sir': 3, 'seca': 3, 'invent': 2, 'taco chicken': 2, 'carne seca': 2, 'order carne asada': 2, 'sir veza': 1, 'old mexican': 1, 'crunchy little': 1, 'pricey mexican': 1, 'busy early': 1, 'home far': 1, 'delicious consistent': 1, 'fresh sour': 1, 'quick decent': 1, 'fresh ready': 1, 'helpful fresh': 1}"
85756,4,Positive,"{'barrio': 4, 'selection local': 3, 'local craft': 3, 'priority': 3, 'stout': 2, 'friendly bartender': 2, 'offer food': 2, 'flatbread': 2, 'kim': 2, 'bartender friendly': 2, 'noble': 3, 'lame': 2, 'local nice': 2, 'smelly': 1, 'open long': 1, 'big hungry': 1, 'excellent pretty': 1, 'kinda pretty': 1, 'fast wonderful': 1, 'great delicious nice': 1}"
85757,3,Positive,"{'casino': 25, 'del sol': 13, 'sol': 13, 'del': 13, 'sushi bar': 5, 'squid salad': 4, 'sushi great': 4, 'crab rangoon': 4, 'derby': 3, 'rangoon': 4, 'mongolian': 4, 'squid': 2, 'especially nice': 2, 'slow nice': 2, 'nigiri': 2, 'mein': 2, 'calamari': 2, 'nice totally': 1, 'nigiri nigiri': 1, 'playful': 1}"
85757,4,Positive,"{'casino': 10, 'del sol': 4, 'sol': 4, 'del': 4, 'whisky': 2, 'amazing drink': 2, 'whiskey': 2, 'bartender great': 2, 'concert': 2, 'enjoy drink': 2, 'perfect huge': 1, 'pretzel': 1, 'low happy': 1, 'happy impressed': 1, 'ahead great': 1, 'fantastic sure': 1, 'tasty strong': 1, 'far inside': 1, 'green fantastic': 1, 'awesome old': 1}"
